comment,date
"アンドロイドはもう本読む用のタブレット以来買ってないなぁ…なんか難しそうで。
カズさんのダイエットぐらい難しそう…",諏訪子の人5か月前
諏訪子の人,gtx9601か月前
諏訪子の人,nobuyukikamata4週間前
サムスン製で爆発するかもよ...,アカ政治を許さない1か月前
"+田中ヴァルガス 機種に限らずバッテリーの仕様上爆発する可能性はあるそうです。
まあ今ある意味話題のGalaxy note7は躊躇過ぎますが、、
ただ、爆発するのは、数千万台分の1ほどというデータもあるようです。（もちろんGalaxy note7を除く）
まあ、国内で発売されているものはほぼ大丈夫そうですね",8101週間前
"+8 10 ですな。
僕のXperiaZ2は爆発はしませんでしたけどバッテリーの膨張が原因で背面パネルが浮き上がったことはありますね",田中ヴァルガス1週間前
なんか側面iPhoneに似てる,ひぬえけかきなにま5か月前
で？そんなこと言ったらFREETEL REIの立場は無くなるよー笑,YouTubeComment5か月前
+1432 5344 それww,朝ヤサイ5か月前
この機種何が残念って保護フィルムが少なすぎる,おゆたりす弐5か月前
ていうか爆発しないのかな？,佐藤太郎3週間前
"+佐藤太郎 
ギャラクシーならあるかもw
iPhone7も爆発したという噂があるけど",夢幻蒼音3週間前
iosよりandroidの人挙手！,吉田一翔5か月前
#NAME?,jondo3か月前
#NAME?,プロイセンバイエルン3か月前
"「挿入しまして…」
もう！カズさんのエッチ！！
edgeだけに・・・",yamazakii5か月前
カズさん｢いや、edge(エッジ)だから｣,Yes棒読み3か月前
うまい！！,ラーメン大好き/////1か月前
"カズさん、スマホ爆発しないように気を付けてください!

米国で「S7 edge」が爆発したらしいです",HIZIKIHEBIKI1か月前
.....？ホームラン先の状態が？,昼<U+3E63>昼<U+3E63>昼<U+3E63>昼<U+3E63>昼<U+3E63>昼<U+3E63>1日前
いつ爆発？,sisisi101010101か月前
sisisi10101010 すべってるよ,XYZ1週間前
"docomoってどのスマホでも刻印いれてるのかな？
前のスマホでもされてたけどダサいからやめてほしい",たこやき太郎5か月前
#NAME?,株式会社拓海キログラムグラムリットルセンチメートル/元ゆっくりの人4か月前
たこやき太郎,gtx9601か月前
"携帯何個もってんだよ。
買えばいいとか思ってます？",いしいたつき5か月前
弟のっていってるのきいてないのか（,はっぴーらっきー2か月前（編集済み）
"サムネホームボタン上になってません？
これも逆さまですよね？笑",nekoharu5か月前
#NAME?,nekoharu5か月前
#NAME?,nekoharu5か月前
これもきっと発火するのかなぁ,kazu09291週間前
8 10 なるほど！詳しく説明ありがとうございます！,kazu09291週間前
やっぱりカズさん買ったか,Atsushi03155か月前
弟のだよ,りょーた5か月前
+りょうゲームプレイ動画 あ、、そっかw,Atsushi03155か月前
韓国製スマホ、、、だから私は、Xperia。,鈴木貴樹5か月前
強いて言えばロック解除にしか使えないゴミ指紋認証をもっと工夫してほしい...くらい,田中ヴァルガス2週間前
燃えるぞ　気をつけようね。,masa1009615か月前
"俺は韓国好きじゃないけどs7買った
政治とか関係なく見ればすごく良いスマホ",神猶盛矢5か月前
クラスに自分がandroidユーザーだからってandroidはiPhoneよりも優れてるのをしつこく言ってくる女子いるんだけどマジでムカつく,イセヤカイト5か月前
iPhoneつかってるやつらも、iPhoneが一番とかいうやついるよな。うざいよねw,佐藤聖矢1か月前
結論iPhoneはgm(個人差),アルテマUltima1か月前（編集済み）
でも4GB積んでるのにあいぽんよりフリーズするんでしょ？,tokumeikibou5か月前
RAMの量の問題では無いと思います。,fanlel19263か月前
#NAME?,arasky3か月前
頭の中がギャラクシー,MadsenDavid5か月前
宇宙は脳細胞,WASABIch5か月前
もう、iosとandroid同じでいいよ,ペテルギウスロマネコンティ5か月前
#NAME?,田中ヴァルガス1か月前
#NAME?,アルテマUltima1か月前
